,code,fine,score,content
0,,,,
1,10011,200,0,驾驶拼装的机动车上道路行驶的 （驾驶摩托车、拖拉机未从事营运的）
2,10012,500,0,驾驶拼装的机动车上道路行驶的 （驾驶摩托车、拖拉机从事营运的）
3,10013,500,0,驾驶拼装的机动车上道路行驶的 （驾驶其他类型的机动车未从事营运的）
4,10014,1000,0,驾驶拼装的机动车上道路行驶的（驾驶其他类型的机动车从事货运的）
5,10015,2000,0,驾驶拼装的机动车上道路行驶的（驾驶其他类型的机动车从事营运的）
6,10021,200,0,驾驶已达报废标准的车辆上道路行驶的（驾驶摩托车、拖拉机未从事营运的）
7,10022,500,0,驾驶已达报废标准的车辆上道路行驶的（驾驶其摩托车、拖拉机从事营运的）
8,10023,500,0,驾驶已达报废标准的车辆上道路行驶的 （驾驶其他类型的机动车未从事营运的）
9,10024,1000,0,驾驶已达报废标准的车辆上道路行驶的（驾驶其他类型的机动车从事货运的）
10,10025,2000,0,驾驶已达报废标准的车辆上道路行驶的（驾驶其他类型的机动车从事客运的）
11,10030,0,0,造成交通事故后逃逸，构成犯罪的
12,10040,0,0,违反道路交通安全法律、法规的规定，发生重大事故，构成犯罪的
13,10041,0,0,饮酒后驾驶机动车发生重大交通事故，构成犯罪的
14,10042,0,0,醉酒后驾驶机动车发生重大交通事故，构成犯罪的
15,10051,200,0,未取得驾驶证驾驶机动车的（驾驶拖拉机 、摩托车的）
16,10052,500,0,未取得驾驶证驾驶机动车的（驾驶低速载货汽车、三轮汽车的）
17,10053,1000,0,未取得驾驶证驾驶机动车的（驾驶其他机动车的）
18,10061,200,0,驾驶证被吊销期间驾驶机动车的（驾驶拖拉机、摩托车的）
19,10062,500,0,驾驶证被吊销期间驾驶机动车的（驾驶低速载货汽车、三轮汽车的）
20,10063,1000,0,驾驶证被吊销期间驾驶机动车的 （驾驶其他机动车的）
21,10071,200,0,把机动车交给未取得机动车驾驶证的人驾驶的（驾驶拖拉机、摩托车的）
22,10072,500,0,把机动车交给未取得机动车驾驶证的人驾驶的（驾驶低速载货汽车、三轮汽车的）
23,10073,1000,0,把机动车交给未取得机动车驾驶证的人驾驶的（驾驶其他机动车的）
24,10081,200,0,把机动车交给机动车驾驶证被吊销的人驾驶的（驾驶拖拉机、摩托车的）
25,10082,500,0,把机动车交给机动车驾驶证被吊销的人驾驶的(驾驶低速载货汽车、三轮汽车的)
26,10083,1000,0,把机动车交给机动车驾驶证被吊销的人驾驶的 (驾驶其他机动车的)
27,10091,200,0,把机动车交给机动车驾驶证被暂扣的人驾驶的（驾驶拖拉机、摩托车的）
28,10092,500,0,把机动车交给机动车驾驶证被暂扣的人驾驶的（驾驶低速载货汽车、三轮汽车的）
29,10093,1000,0,把机动车交给机动车驾驶证被暂扣的人驾驶的 （驾驶其他机动车的）
30,10100,200,0,驾驶人在驾驶证超过有效期仍驾驶机动车的
31,10110,1000,0,非法安装警报器的
32,10120,1000,0,非法安装标志灯具的
33,10130,100,0,驾驶证丢失期间仍驾驶机动车的
34,10140,100,0,驾驶证损毁期间仍驾驶机动车的
35,10150,50,0,驾驶证被依法扣留期间仍驾驶机动车的
36,10161,50,0,违法记分达到12分仍驾驶机动车的 （驾驶拖拉机、摩托车的）
37,10162,100,0,违法记分达到12分仍驾驶机动车的 （驾驶低速载货汽车、三轮汽车的）
38,10163,200,0,违法记分达到12分仍驾驶机动车的 （驾驶其他机动车的）
39,10170,最低保额两倍,0,不按规定投保机动车第三者责任强制保险的
40,10180,50,0,机动车不在机动车道内行驶的
41,10190,50,0,机动车违反规定使用专用车道的
42,10200,100,0,机动车驾驶人不服从交警指挥的
43,10230,100,0,遇前方机动车停车排队等候或者缓慢行驶时，未依次交替驶入车道减少后的路口、路段的
44,10240,100,0,在没有交通信号灯、交通标志、交通标线或者交警指挥的交叉路口遇到停车排队等候或者缓慢行驶时，机动车未依次交替通行的
45,10250,100,0,遇前方机动车停车排队等候或者缓慢行驶时，在人行横道、网状线区域内停车等候的
46,10260,100,0,行经铁路道口，不按规定通行的
47,10310,200,0,运载危险物品未经批准的
48,10360,100,0,货运机动车违反规定载人的
49,10370,100,0,未将故障车辆移到不妨碍交通的地方停放的
50,10380,100,0,不避让正在作业的道路养护车、工程作业车的
51,10393,150,0,机动车违反规定停放、临时停车且驾驶人不在现场，妨碍其它车辆、行人通行的
52,10394,150,0,机动车违反规定停放、临时停车，驾驶人拒绝立即驶离，妨碍其它车辆、行人通行的
53,10400,50,0,机动车喷涂、粘贴标识或者车身广告影响安全驾驶的
54,10410,200,0,道路养护施工作业车辆、机械作业时未开启示警灯和危险报警闪光灯的
55,10430,100,0,变更车道时影响正常行驶的机动车的
56,10440,200,0,在禁止掉头或者禁止左转弯标志、标线的地点掉头的
57,10450,200,0,在容易发生危险的路段掉头的
58,10460,200,0,掉头时妨碍正常行驶的车辆和行人通行的
59,10470,50,0,机动车未按规定鸣喇叭示意的
60,10480,50,0,在禁止鸣喇叭的区域或者路段鸣喇叭的
61,10490,50,0,在机动车驾驶室的前后窗范围内悬挂、放置妨碍驾驶人视线的物品的
62,10500,100,0,机动车行经漫水路或漫水桥时未低速通过的
63,10510,100,0,机动车载运超限物品行经铁路道口时不按指定的道口通过的
64,10520,100,0,机动车载运超限物品行经铁路道口时不按指定的时间通过的
65,10530,100,0,机动车行经渡口，不服从渡口管理人员指挥，不依次待渡的
66,10540,100,0,上下渡船时，不低速慢行的
67,10550,100,0,特种车辆违反规定使用警报器的
68,10560,100,0,特种车辆违反规定使用标志灯具的
69,10570,100,0,机动车在单位院内居民居住区内不低速行驶的
70,10580,100,0,机动车在单位院内居民居住区内不避让行人的
71,10590,100,0,驾驶摩托车手离车把的
72,10600,100,0,驾驶摩托车在车把上悬挂物品的
73,10610,50,0,拖拉机驶入大中城市中心城区内道路的
74,10620,20,0,拖拉机驶入其它禁止通行道路的
75,10630,100,0,拖拉机载人的
76,10640,100,0,拖拉机牵引多辆挂车的
77,10650,100,0,学习驾驶人不按指定路线上道路学习驾驶的
78,10660,100,0,学习驾驶人不按指定时间上道路学习驾驶的
79,10670,100,0,学习驾驶人使用非教练车上道路驾驶的
80,10680,100,0,学习驾驶人在教练不随车指导下上道路驾驶车辆的
81,10690,100,0,使用教练车时有与教学无关的人员乘坐的
82,10700,100,0,实习期内未粘贴或悬挂实习标志的
83,10720,50,0,驾驶安全设施不全的机动车的
84,10730,100,0,驾驶机件不符合技术标准的机动车的
85,10740,100,0,不按规定倒车的
86,10750,50,0,在车门、车厢没有关好时行车的
87,10760,100,0,机动车在没有划分机动车道、非机动车道和人行道的道路上，不在道路中间通行的
88,10770,100,0,驾驶机动车下陡坡时熄火、空档滑行的
89,10780,1000,0,机动车违反交通管制规定强行通行，不听劝阻的
90,10820,100,0,使用他人机动车驾驶证驾驶机动车的
91,10831,200,0,载货汽车、挂车未按照规定安装侧面及后下部防护装置的
92,10832,200,0,载货汽车、挂车未按照规定粘贴车身反光标识的
93,10841,200,0,改变车身颜色未按规定时限办理变更登记的
94,10842,200,0,更换发动机未按规定时限办理变更登记的
95,10843,200,0,更换车身未按规定时限办理变更登记的
96,10844,200,0,更换车架未按规定时限办理变更登记的
97,10850,200,0,机动车所有权转移后，现机动车所有人未按规定时限办理转移登记的
98,10861,200,0,机动车所有人办理变更登记，机动车档案转出登记地车辆管理所后，未按照规定时限到住所地车辆管理所申请机动车转入的
99,10862,200,0,机动车所有人办理转移登记，机动车档案转出登记地车辆管理所后，未按照规定时限到住所地车辆管理所申请机动车转入的
100,10870,500,0,擅自改变机动车外形和已登记的有关技术数据的
101,10881,200,0,以欺骗、贿赂等不正当手段办理补、换领机动车登记证书的
102,10882,200,0,以欺骗、贿赂等不正当手段办理补、换领号牌的
103,10883,200,0,以欺骗、贿赂等不正当手段办理补、换领行驶证的
104,10884,200,0,以欺骗、贿赂等不正当手段办理补、换领检验合格标志等业务的
105,10890,500,0,公路客运车辆违反规定载货的
106,10900,50,0,机动车违反警告标志指示的
107,10910,50,0,机动车违反警告标线指示的
108,10920,50,0,公路客运车辆以外的载客汽车违反规定载货的
109,10930,50,0,驾驶时观看电视的
110,10940,50,0,在同车道行驶中，不按规定与前车保持必要的安全距离的
111,10950,100,0,实习期内驾驶公共汽车的
112,10960,100,0,实习期内驾驶营运客车的
113,10970,100,0,实习期内驾驶执行任务的特种车辆的
114,10980,100,0,实习期内驾驶载有危险物品的机动车的
115,10990,100,0,实习期内驾驶的机动车牵引挂车的
116,11020,50,1,不按规定使用灯光的
117,11030,100,1,不按规定会车的
118,11080,20,1,上道路行驶的机动车未放置保险标志的
119,11090,20,1,未随车携带行驶证的
120,11100,20,1,未随车携带驾驶证的
121,11110,100,1,机动车载货长度、宽度、高度超过规定的
122,11151,20,1,上道路行驶的机动车未放置检验合格标志的 （已取得检验合格标志）
123,11152,200,1,上道路行驶的机动车未放置检验合格标志的 （未取得检验合格标志的）
124,12070,20,2,驾驶摩托车时驾驶人未按规定戴安全头盔的
125,12080,100,2,机动车通过有灯控路口时，不按所需行进方向驶入导向车道的
126,12090,100,2,左转弯时，未靠路口中心点左侧转弯的
127,12100,100,2,通过路口遇放行信号不依次通过的
128,12110,50,2,通过路口遇停止信号时，停在停止线以内或路口内的
129,12120,100,2,通过路口向右转弯遇同车道内有车等候放行信号时，不依次停车等候的
130,12230,50,2,驾驶时拨打接听手持电话的
131,12250,50,2,驾车时有其他妨碍安全行车的的
132,12280,100,2,路口遇有交通阻塞时未依次等候的
133,12431,100,2,遇前方机动车停车排队或者缓慢行驶时，借道超车的
134,12432,100,2,遇前方机动车停车排队或者缓慢行驶时，占用对面车道的
135,12433,100,2,遇前方机动车停车排队或者缓慢行驶时，穿插等候车辆的
136,12440,100,2,在城市快速路上行驶时，驾驶人未按规定使用安全带的
137,,,,
138,13010,200,3,机动车逆向行驶的
139,13040,150,3,从前车右侧超车的
140,13050,150,3,前车左转弯时超车的
141,13060,150,3,前车掉头时超车的
142,13070,150,3,前车超车时超车的
143,13080,150,3,与对面来车有会车可能时超车的
144,13090,200,3,超越执行紧急任务的警车、消防车、救护车、工程救险车的
145,13100,150,3,在铁路道口、路口、窄桥、弯道、陡坡、隧道、人行横道、交通流量大的路段等地点超车的
146,13110,100,3,车辆在道路上发生故障或事故后，妨碍交通又难以移动的，不按规定设置警告标志或未按规定使用警示灯光的
147,13120,100,3,准备进入环形路口不让已在路口内的机动车先行的
148,13130,100,3,转弯的机动车未让直行的车辆、行人先行的
149,13140,100,3,相对方向行驶的右转弯机动车不让左转弯车辆先行的
150,13150,100,3,机动车通过无灯控或交警指挥的路口，不按交通标志、标线指示让优先通行的一方先行的
151,13160,100,3,机动车通过无灯控、交警指挥、交通标志标线控制的路口，不让右方道路的来车先行的
152,13170,100,3,载货汽车牵引多辆挂车的
153,13180,100,3,半挂牵引车牵引多辆挂车的
154,13200,100,3,小型载客汽车牵引旅居挂车以外的且总质量700千克以上挂车的
155,13220,100,3,载货汽车牵引挂车的载质量超过汽车本身的载质量的
156,13230,100,3,大型载客汽车牵引挂车的
157,13240,100,3,中型载客汽车牵引挂车的
158,13250,100,3,低速载货汽车牵引挂车的
159,13260,100,3,三轮机动车汽车牵引挂车的
160,13270,100,3,机动车在发生故障或事故后，不按规定使用灯光的
161,13330,200,3,不避让执行任务的特种车辆的
162,13340,100,3,机动车不避让盲人的
163,13400,200,3,机动车未按照规定期限进行安全技术检验的
164,13440,50,3,机动车违反禁令标志指示的
165,13450,50,3,机动车违反禁止标线指示的
166,13481,50,3,驾驶营运客车（不包括公共汽车）、校车以外的载客汽车载人超过核定人数未达20%的
167,13490,50,3,驾驶中型以上载客汽车在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的
168,13500,50,3,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的
169,13510,50,3,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速未达20%的
170,13520,50,3,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车行驶超过规定时速未达20%的
171,13521,100,3,驾驶中型以上载客载货汽车、危险物品运输车辆以外的其他机动车在高速公路上行驶超过规定时速未达20%的
172,13530,200,3,机动车载物超过核定载质量未达30%的
173,13540,200,3,驾驶危险物品运输车辆载物超过核定载质量未达30%的
174,13550,50,3,驾驶机动车在城市快速路上不按规定车道行驶的
175,13560,100,3,行经人行横道，未减速行驶的
176,13570,100,3,遇行人正在通过人行横道时未停车让行的
177,13580,100,3,行经没有交通信号的道路时，遇行人横过道路未避让的
178,16101,200,6,在驾驶证暂扣期间仍驾驶机动车的(驾驶摩托车、拖拉机的)
179,16102,250,6,在驾驶证暂扣期间仍驾驶机动车的(驾驶低速载货汽车、三轮汽车的)
180,16103,300,6,在驾驶证暂扣期间仍驾驶机动车的(驾驶其他机动车的)
181,16170,100,6,运载危险物品时不按规定的时间、路线、速度行驶的
182,16180,100,6,运载危险物品时未悬挂警示标志的
183,16190,100,6,运载危险物品时未采取必要的安全措施的
184,16211,500,6,公路客运车辆载客超过核定载客人数未达20%的
185,16220,200,6,机动车在城市快速路上遇交通拥堵，占用应急车道行驶的
186,16251,150,6,机动车不按交通信号灯规定通行的
187,16260,50,6,驾驶公路客运车辆、公共汽车以外的其他营运客车载人超过核定人数未达20％的
188,16271,50,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超1人）
189,16272,100,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超2人）
190,16273,150,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超3人）
191,16274,200,6,驾驶营运客车（不包括公共汽车）以外的其他载客汽车载人超过核定人数20％以上的（超4人以上）
192,16280,50,6,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速未达20％的
193,16290,50,6,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速未达20％的
194,16300,50,6,驾驶校车在城市快速路上行驶超过规定时速未达20％的
195,16310,50,6,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速未达20％的
196,16320,50,6,驾驶中型以上载客汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
197,16330,50,6,驾驶中型以上载货汽车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
198,16340,50,6,驾驶校车在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
199,16350,50,6,驾驶危险物品运输车辆在高速公路、城市快速路以外的道路上行驶超过规定时速20%以上未达到50%的
200,16360,50,6,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车行驶超过规定时速20%以上未达到50%的
201,16361,100,6,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的其他机动车在高速公路上行驶超过规定时速20%以上未达到50%的
202,16370,500,6,机动车载物超过核定载质量30%的
203,16380,500,6,货运机动车违反规定载客的
204,16390,500,6,运输剧毒化学品机动车超过核定载质量30％的
205,16400,100,6,驾驶机动车运载超限的不可解体的物品，未按指定的时间、路线、速度行驶的
206,16410,100,6,驾驶机动车运载超限的不可解体的物品，未悬挂明显标志的
207,16421,50,6,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时停车休息时间少于20分钟的
208,16422,100,6,连续驾驶中型以上载客汽车、危险物品运输车辆以外的机动车超过4小时未停车休息
209,17050,1000,12,造成交通事故后逃逸，尚不构成犯罪的
210,17091,200,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶摩托车、拖拉机的）
211,17092,250,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶其他机动车的）
212,17093,1000,12,驾驶与驾驶证载明的准驾车型不相符合的车辆的（驾驶营运客车的）
213,1710A,2000,12,公路客运车辆载客超过额定乘员20%的
214,17121,1000,12,饮酒后驾驶机动车的
215,17160,200,12,驾驶公路客运车辆、公共汽车以外的其他营运客车载人超过核定人数20％以上的
216,17170,100,12,上道路行驶的机动车未悬挂机动车号牌的
217,17180,100,12,故意遮挡机动车号牌的
218,17190,100,12,故意污损机动车号牌的
219,17200,100,12,不按规定安装机动车号牌的
220,17210,500,12,驾驶中型以上载客载货汽车、校车、危险物品运输车辆以外的机动车行驶超过规定时速50%以上的
221,17220,50,12,驾驶中型以上载客汽车在城市快速路上行驶超过规定时速20％以上未达50%的
222,17230,50,12,驾驶中型以上载货汽车在城市快速路上行驶超过规定时速20％以上未达50%的
223,17240,50,12,驾驶校车在城市快速路上行驶超过规定时速20％以上未达50%的
224,17250,50,12,驾驶危险物品运输车辆在城市快速路上行驶超过规定时速20％以上未达50%的
225,17260,500,12,驾驶中型以上载客汽车在高速公路以外的道路上行驶超过规定时速50%的
226,17270,500,12,驾驶中型以上载货汽车在高速公路以外的道路上行驶超过规定时速50%的
227,17280,500,12,驾驶校车在高速公路以外的道路上行驶超过规定时速50%的
228,17290,500,12,驾驶危险物品运输车辆在高速公路以外的道路上行驶超过规定时速50%的
229,17301,50,12,连续驾驶中型以上载客汽车超过4小时停车休息时间少于20分钟的
230,17302,100,12,连续驾驶中型以上载客汽车超过4小时未停车休息
231,17311,50,12,连续驾驶危险物品运输车辆超过4小时停车休息时间少于20分钟的
232,17312,100,12,连续驾驶危险物品运输车辆超过4小时未停车休息
233,,,,
234,20020,200,0,非机动车违反交通管制的规定强行通行，不听劝阻的
235,20030,50,0,非机动车未依法登记，上道路行驶的
236,20040,50,0,非机动车逆向行驶的
237,20050,10,0,没有非机动车道的道路上，非机动车不靠车行道右侧行驶的
238,20060,10,0,非机动车违反规定使用其他车辆专用车道的
239,20070,20,0,非机动车不按照交通信号规定通行的
240,20080,50,0,非机动车驾驶人不服从交警指挥的
241,20090,10,0,非机动车未在非机动车道内行驶的
242,20100,50,0,醉酒驾驶、驾驭非机动车、畜力车的
243,20110,10,0,驾驶残疾人机动轮椅车超速行驶的
244,20120,10,0,驾驶电动自行车超速行驶的
245,20130,10,0,非机动车不按规定载物的
246,20140,10,0,非机动车不在规定地点停放的
247,20150,10,0,非机动车停放时妨碍其他车辆和行人通行的
248,20160,10,0,非机动车通过路口，转弯的非机动车不让直行的车辆、行人优先通行的
249,20170,10,0,非机动车通过路口，遇有前方路口交通阻塞时，强行进入的
250,20180,10,0,非机动车通过路口，向左转弯时，不靠路口中心点右侧转弯的
251,20190,10,0,非机动车遇停止信号时，停在停止线以内或路口内的
252,20200,10,0,非机动车向右转弯遇同车道内有车等候放行信号不能转弯时，不依次等候的
253,20210,20,0,行经无灯控或交警指挥的路口，不让标志、标线指示优先通行的一方先行的
254,20220,20,0,行经无灯控、交警指挥或标志、标线控制的路口，无交通标志标线，不让右方道路的来车先行的
255,20230,20,0,行经无灯控或交警指挥的路口，右转弯的非机动车不让左转弯的车辆先行的
256,20240,20,0,驾驶自行车、电动自行车、三轮车在路段上横过机动车道时不下车推行的
257,20250,20,0,有人行横道时，非机动车不从人行横道横过机动车道的
258,20260,20,0,有行人过街设施时，非机动车不从行人过街设施横过机动车道的
259,20270,20,0,非机动车借道行驶后不迅速驶回非机动车道的
260,20280,20,0,非机动车转弯时未减速慢行，伸手示意，突然猛拐的
261,20290,20,0,非机动车超车时妨碍被超越的车辆行驶的
262,20300,20,0,驾驶非机动车牵引车辆的
263,20310,20,0,驾驶非机动车攀扶车辆的
264,20320,20,0,非机动车被其他车辆牵引的
265,20330,20,0,驾驶非机动车时双手离把的
266,20340,20,0,驾驶非机动车时手中持物的
267,20350,20,0,驾驶非机动车时扶身并行的
268,20360,20,0,驾驶非机动车时互相追逐的
269,20370,20,0,驾驶非机动车时曲折竟驶的
270,20380,20,0,在道路上骑独轮自行车的
271,20390,20,0,在道路上骑2人以上骑行的自行车的
272,20400,20,0,非下肢残疾的人驾驶残疾人机动轮椅车的
273,20410,20,0,自行车加装动力装置的
274,20420,20,0,三轮车加装动力装置的
275,20430,20,0,在道路上学习驾驶非机动车的
276,20440,50,0,非机动车不避让盲人的
277,20450,10,0,驾驭畜力车横过道路时，驾驭人未下车牵引牲畜的
278,20460,10,0,畜力车并行的
279,20470,10,0,驾驶畜力车时驾驭人离开车辆的
280,20480,10,0,驾驶畜力车时在容易发生危险的路段超车的
281,20490,10,0,驾驶两轮畜力车不下车牵引牲畜的
282,20500,10,0,使用未经驯服的牲畜驾车的
283,20510,10,0,随车幼畜未栓系的
284,20520,10,0,停放畜力车时未拉紧车闸的
285,20530,10,0,停放畜力车时未栓系牲畜的
286,20540,50,0,未满12周岁驾驶自行车、三轮车的
287,20550,50,0,未满16周岁驾驶、驾驭电动自行车、残疾人机动轮椅、畜力车的
288,30010,5,0,行人违反交通信号通行的
289,30020,10,0,行人不服从交警指挥的
290,30030,5,0,行人不在人行道内行走的
291,30040,5,0,行人在没有划分机动车道、非机动车道和人行道的道路上，不靠路边行走的
292,30050,5,0,行人横过道路未走人行横道或过街设施的
293,30060,10,0,行人跨越道路隔离设施的
294,30070,10,0,行人倚坐道路隔离设施的
295,30080,50,0,行人扒车的
296,30090,50,0,行人强行拦车的
297,30100,50,0,行人实施其他妨碍交通安全的行为的
298,30110,50,0,学龄前儿童以及不能辨认或不能控制自己行为的精神疾病患者、智力障碍者在道路上通行时，没有其监护人或对其负有管理职责的人带领的
299,30120,50,0,盲人在道路上通行，未使用导盲手段的
300,30130,5,0,行人不按规定通过铁路道口的
301,30140,10,0,在道路上使用滑行工具的
302,30150,10,0,行人在车行道内坐卧、停留、嬉闹的
303,30160,50,0,行人有追车、抛物击车等妨碍道路交通安全的行为的
304,30170,5,0,行人不按规定横过机动车道的
305,30180,5,0,行人列队在道路上通行时每横列超过2人的
306,30191,10,0,机动车行驶时，乘坐人员未按规定使用安全带的（在普通公路、城市道路上行驶的）
307,30192,20,0,机动车行驶时，乘坐人员未按规定使用安全带的（在高速公路上行驶的）
308,30200,20,0,乘坐摩托车不戴安全头盔的
309,30210,50,0,乘车人携带易燃、易爆等危险物品的
310,30220,10,0,乘车人向车外抛洒物品的
311,30230,10,0,乘车人有影响驾驶人安全驾驶的行为的
312,30240,10,0,在机动车道上拦乘机动车的
313,30250,10,0,在机动车道上从机动车左侧上下车的
314,30260,10,0,开关车门妨碍其他车辆和行人通行的
315,30270,10,0,机动车行驶中乘坐人员干扰驾驶的
316,30280,10,0,机动车行驶中乘坐人员将身体任何部分伸出车外的
317,30290,50,0,乘车人在机动车行驶中跳车的
318,30300,20,0,乘坐两轮摩托车未正向骑坐的
319,40010,10,0,行人进入高速公路的
320,40020,200,0,拖拉机驶入高速公路的
321,40030,50,0,非机动车进入高速公路的
