,accidenttime,temperature_min,temperature_max,weather1,weather2,wind1,wind2,diff_temperature
0,2015-1-1,6,8,阴,阴,东北风,南风,2
1,2015-1-2,6,12,多云,多云,南风,南风,6
2,2015-1-3,7,13,多云,多云,南风,南风,6
3,2015-1-4,7,13,多云,阴,东北风,东南风,6
4,2015-1-5,3,11,小雨,小雨,东南风,东北风,8
5,2015-1-6,3,6,小雨,小雨,东北风,东北风,3
6,2015-1-7,2,6,阴,小雨,东北风,东北风,4
7,2015-1-8,1,5,小雨,小雨,东北风,东北风,4
8,2015-1-9,0,4,雨夹雪,小雪,东北风,东北风,4
9,2015-1-10,3,6,小雨,小雨,东北风,东北风,3
10,2015-1-11,2,8,阴,小雨,东北风,东北风,6
11,2015-1-12,1,10,多云,阴,东北风,东北风,9
12,2015-1-13,0,12,晴,晴,东北风,东北风,12
13,2015-1-14,3,11,多云,阴,东风,南风,8
14,2015-1-15,4,9,阴,小雨,南风,东北风,5
15,2015-1-16,5,8,阴,阴,东北风,东风,3
16,2015-1-17,4,10,阴,小雨,东风,东北风,6
17,2015-1-18,2,6,小雨,小雨,东北风,东北风,4
18,2015-1-19,3,7,阴,小雨,东风,东北风,4
19,2015-1-20,2,11,阴,阴,东北风,东北风,9
20,2015-1-21,1,13,晴,晴,东北风,东北风,12
21,2015-1-22,7,15,晴,多云,南风,南风,8
22,2015-1-23,9,14,阴,阴,南风,南风,5
23,2015-1-24,11,14,阴,小雨,南风,东南风,3
24,2015-1-25,9,13,阴,小雨,东北风,东南风,4
25,2015-1-26,10,15,阴,阴,东南风,东南风,5
26,2015-1-27,7,16,阴,阴,东南风,南风,9
27,2015-1-28,1,10,阴,小雨,南风,东北风,9
28,2015-1-29,-1,2,雨夹雪,冻雨,东北风,东北风,3
29,2015-1-30,-3,1,冻雨,冻雨,东北风,东北风,4
30,2015-1-31,-3,1,冻雨,冻雨,东北风,东北风,4
31,2015-2-1,0,2,阴,小雨,东北风,东风,2
32,2015-2-2,3,7,阴,小雨,南风,东南风,4
33,2015-2-3,1,6,小雨,小雨,东北风,东北风,5
34,2015-2-4,0,4,小雨,小雨,东北风,东北风,4
35,2015-2-5,0,3,阴,阴,东北风,东北风,3
36,2015-2-6,2,9,多云,小雨,南风,南风,7
37,2015-2-7,3,8,阴,阴,东北风,东北风,5
38,2015-2-8,3,7,阴,阴,东北风,南风,4
39,2015-2-9,4,6,阴,小雨,东北风,东北风,2
40,2015-2-10,3,6,小雨,小雨,东北风,东风,3
41,2015-2-11,3,11,多云,多云,东风,东北风,8
42,2015-2-12,5,15,多云,多云,南风,南风,10
43,2015-2-13,8,17,多云,阵雨,南风,南风,9
44,2015-2-14,10,16,阵雨,雷阵雨,南风,南风,6
45,2015-2-15,8,19,多云,阴,南风,东北风,11
46,2015-2-16,9,15,阴,阵雨,东北风,东南风,6
47,2015-2-17,11,17,阴,阴,东南风,南风,6
48,2015-2-18,14,20,多云,多云,南风,南风,6
49,2015-2-19,14,22,多云,多云,南风,南风,8
50,2015-2-20,11,23,多云,雷阵雨,南风,东北风,12
51,2015-2-21,9,16,多云,阵雨,东北风,东风,7
52,2015-2-22,7,11,阵雨,小雨,东北风,东北风,4
53,2015-2-23,8,16,阴,阴,南风,东风,8
54,2015-2-24,9,20,多云,阴,南风,南风,11
55,2015-2-25,8,15,阴,阵雨,东北风,东北风,7
56,2015-2-26,9,12,阴,小雨,东风,南风,3
57,2015-2-27,5,21,多云,阵雨,南风,南风,16
58,2015-2-28,4,8,小雨,小雨,东北风,东北风,4
59,2015-3-1,3,9,阴,阴,东风,南风,6
60,2015-3-2,2,9,阴,小雨,东北风,东北风,7
61,2015-3-3,3,8,小雨,小雨,东北风,东北风,5
62,2015-3-4,1,6,小雨,小雨,东北风,东北风,5
63,2015-3-5,1,4,小雨,小雨,东北风,东北风,3
64,2015-3-6,3,5,小雨,小雨,东北风,东北风,2
65,2015-3-7,5,10,阴,小雨,东风,东南风,5
66,2015-3-8,6,11,小雨,阴,东北风,东北风,5
67,2015-3-9,5,10,小雨,小雨,东北风,东北风,5
68,2015-3-10,4,8,小雨,小雨,东北风,东北风,4
69,2015-3-11,4,8,阴,小雨,东北风,东北风,4
70,2015-3-12,10,16,多云,多云,南风,南风,6
71,2015-3-13,12,17,多云,阵雨,南风,南风,5
72,2015-3-14,12,17,阴,阴,南风,东南风,5
73,2015-3-15,13,18,阴,阴,东风,南风,5
74,2015-3-16,15,20,阴,多云,南风,南风,5
75,2015-3-17,14,25,多云,多云,南风,南风,11
76,2015-3-18,14,24,多云,多云,南风,南风,10
77,2015-3-19,12,26,多云,阵雨,南风,东北风,14
78,2015-3-20,10,14,阴,阵雨,东北风,东北风,4
79,2015-3-21,11,16,阴,阴,东北风,东南风,5
80,2015-3-22,10,19,阵雨,阵雨,东南风,东风,9
81,2015-3-23,9,17,多云,阴,东北风,东北风,8
82,2015-3-24,7,13,小雨,阵雨,东北风,东北风,6
83,2015-3-25,9,14,阴,阵雨,东北风,东北风,5
84,2015-3-26,12,17,阴,阵雨,南风,南风,5
85,2015-3-27,13,18,阵雨,阵雨,南风,南风,5
86,2015-3-28,14,17,阵雨,雷阵雨,南风,南风,3
87,2015-3-29,15,18,阴,多云,东风,南风,3
88,2015-3-30,17,24,晴,多云,南风,南风,7
89,2015-3-31,19,28,多云,多云,南风,南风,9
90,2015-4-1,19,29,多云,多云,南风,南风,10
91,2015-4-2,18,30,多云,多云,南风,南风,12
92,2015-4-3,19,30,多云,多云,南风,南风,11
93,2015-4-4,18,29,多云,多云,南风,南风,11
94,2015-4-5,12,30,阴,阵雨,南风,东北风,18
95,2015-4-6,7,17,阵雨,阵雨,东北风,东北风,10
96,2015-4-7,5,9,小雨,小雨,东北风,东北风,4
97,2015-4-8,6,10,小雨,小雨,东北风,东北风,4
98,2015-4-9,7,11,阴,小雨,东北风,东北风,4
99,2015-4-10,8,12,小雨,小雨,东北风,东北风,4
100,2015-4-11,9,15,多云,多云,东北风,东风,6
101,2015-4-12,7,21,晴,多云,东风,东风,14
102,2015-4-13,8,23,晴,多云,东北风,东北风,15
103,2015-4-14,9,22,晴,多云,东风,东风,13
104,2015-4-15,16,24,多云,多云,东南风,南风,8
105,2015-4-16,17,29,多云,多云,南风,南风,12
106,2015-4-17,19,28,多云,多云,南风,南风,9
107,2015-4-18,16,29,多云,雷阵雨,南风,南风,13
108,2015-4-19,13,22,阵雨,阵雨,东北风,东北风,9
109,2015-4-20,11,20,阴,阴,东北风,东北风,9
110,2015-4-21,10,17,阴,阵雨,东北风,东北风,7
111,2015-4-22,10,15,小雨,小雨,东北风,东北风,5
112,2015-4-23,10,16,阴,小雨,东北风,东北风,6
113,2015-4-24,11,16,阴,小雨,东风,东风,5
114,2015-4-25,11,20,阴,阵雨,东风,东南风,9
115,2015-4-26,14,18,阵雨,阵雨,东南风,东北风,4
116,2015-4-27,14,21,阴,雷阵雨,东南风,东北风,7
117,2015-4-28,15,25,多云,多云,东北风,东北风,10
118,2015-4-29,16,26,阵雨,阵雨,东北风,东南风,10
119,2015-4-30,17,25,阵雨,阵雨,东南风,东南风,8
120,2015-5-1,14,25,阵雨,多云,东南风,东北风,11
121,2015-5-2,16,26,多云,阵雨,东北风,东风,10
122,2015-5-3,15,25,阵雨,阵雨,东北风,东北风,10
123,2015-5-4,14,20,阵雨,阵雨,东北风,东北风,6
124,2015-5-5,15,21,阵雨,阵雨,南风,南风,6
125,2015-5-6,16,25,多云,多云,东北风,南风,9
126,2015-5-7,17,23,阵雨,雷阵雨,东南风,东南风,6
127,2015-5-8,15,25,阵雨,多云,东南风,东北风,10
128,2015-5-9,16,23,阵雨,阵雨,东北风,东南风,7
129,2015-5-10,14,25,阵雨,雷阵雨,南风,南风,11
130,2015-5-11,13,24,多云,多云,东北风,东北风,11
131,2015-5-12,13,24,阴,雷阵雨,南风,南风,11
132,2015-5-13,19,26,多云,阵雨,东南风,东南风,7
133,2015-5-14,20,27,多云,雷阵雨,东南风,南风,7
134,2015-5-15,16,25,阵雨,阵雨,东北风,东北风,9
135,2015-5-16,17,23,阴,雷阵雨,东北风,东风,6
136,2015-5-17,17,25,阵雨,雷阵雨,东北风,南风,8
137,2015-5-18,18,25,多云,多云,东北风,东北风,7
138,2015-5-19,18,25,阵雨,大雨,东北风,南风,7
139,2015-5-20,17,23,阴,阵雨,东北风,东北风,6
140,2015-5-21,16,24,阴,阵雨,东风,东风,8
141,2015-5-22,14,19,阵雨,阵雨,东风,东风,5
142,2015-5-23,14,19,阵雨,阴,东北风,东北风,5
143,2015-5-24,18,24,多云,阴,东风,东南风,6
144,2015-5-25,19,26,多云,阵雨,东南风,东南风,7
145,2015-5-26,20,26,阵雨,雷阵雨,东南风,东北风,6
146,2015-5-27,20,26,阴,阵雨,南风,东北风,6
147,2015-5-28,19,29,多云,雷阵雨,南风,东南风,10
148,2015-5-29,17,24,阵雨,阵雨,东南风,东北风,7
149,2015-5-30,17,23,阵雨,阵雨,东北风,东风,6
150,2015-5-31,19,25,阵雨,阵雨,东风,南风,6
151,2015-6-1,21,29,阵雨,大雨,南风,南风,8
152,2015-6-2,21,27,阵雨,大雨,南风,东北风,6
153,2015-6-3,19,24,阵雨,阵雨,东风,东北风,5
154,2015-6-4,18,24,阵雨,阵雨,东南风,东北风,6
155,2015-6-5,18,23,阴,阵雨,东北风,东南风,5
156,2015-6-6,19,25,阴,阵雨,南风,南风,6
157,2015-6-7,18,21,阵雨,阵雨,东北风,东北风,3
158,2015-6-8,17,21,阵雨,阵雨,东北风,东北风,4
159,2015-6-9,19,25,阴,阵雨,东北风,东南风,6
160,2015-6-10,18,25,中雨,中雨,东北风,东北风,7
161,2015-6-11,20,25,多云,多云,东南风,东北风,5
162,2015-6-12,19,28,多云,中雨,南风,东北风,9
163,2015-6-13,18,23,阵雨,中雨,东北风,东北风,5
164,2015-6-14,19,23,阵雨,阴,东北风,南风,4
165,2015-6-15,21,25,阴,多云,南风,南风,4
166,2015-6-16,21,27,多云,多云,南风,南风,6
167,2015-6-17,19,28,多云,大雨,南风,东北风,9
168,2015-6-18,18,23,阵雨,阵雨,东北风,东北风,5
169,2015-6-19,19,24,阵雨,阵雨,东风,东北风,5
170,2015-6-20,19,24,阴,暴雨,南风,南风,5
171,2015-6-21,19,22,阵雨,阵雨,东北风,东北风,3
172,2015-6-22,20,25,阴,阴,东南风,南风,5
173,2015-6-23,21,28,多云,多云,南风,南风,7
174,2015-6-24,21,28,多云,阵雨,南风,东南风,7
175,2015-6-25,21,28,阵雨,阵雨,东南风,东南风,7
176,2015-6-26,21,28,阵雨,多云,东南风,东南风,7
177,2015-6-27,23,30,多云,多云,南风,南风 ≤3级 /南风 3-4级,7
178,2015-6-28,23,31,多云,多云,南风,南风,8
179,2015-6-29,23,31,多云,多云,南风,南风,8
180,2015-6-30,22,30,多云,雷阵雨,东北风,东南风,8
181,2015-7-1,20,25,阵雨,阵雨,东北风,东北风,5
182,2015-7-2,20,26,阵雨,阵雨,东北风,东北风,6
183,2015-7-3,19,24,阵雨,阵雨,东北风,东北风,5
184,2015-7-4,16,21,阵雨,阵雨,东北风,东北风,5
185,2015-7-5,16,20,阵雨,阴,东北风,东北风,4
186,2015-7-6,15,26,多云,多云,东北风,东北风,11
187,2015-7-7,16,26,多云,多云,东北风,东北风,10
188,2015-7-8,17,27,多云,多云,东北风,东北风,10
189,2015-7-9,17,27,多云,多云,东北风,东北风,10
190,2015-7-10,18,28,多云,多云,东北风,东风,10
191,2015-7-11,19,28,多云,多云,东风,东风,9
192,2015-7-12,20,30,多云,多云,东南风,南风,10
193,2015-7-13,21,31,晴,多云,南风,南风,10
194,2015-7-14,20,30,多云,大雨,南风,南风,10
195,2015-7-15,18,25,阵雨,阴,东北风,东北风,7
196,2015-7-16,19,27,多云,阴,东北风,东北风,8
197,2015-7-17,19,27,多云,多云,东风,东北风,8
198,2015-7-18,20,29,多云,多云,东北风,东北风,9
199,2015-7-19,20,29,多云,多云,东风,东北风,9
200,2015-7-20,20,27,多云,多云,东北风,东北风,7
201,2015-7-21,21,29,多云,多云,东南风,南风,8
202,2015-7-22,19,26,雷阵雨,中雨,东北风,东北风,7
203,2015-7-23,20,25,阴,阴,东北风,东北风,5
204,2015-7-24,20,27,多云,多云,东北风,东北风,7
205,2015-7-25,20,27,多云,多云,东北风,东北风,7
206,2015-7-26,19,28,阵雨,多云,东北风,东南风,9
207,2015-7-27,19,29,多云,多云,东风,东北风,10
208,2015-7-28,20,25,阵雨,阵雨,东北风,东南风,5
209,2015-7-29,19,26,阵雨,阵雨,东南风,东南风,7
210,2015-7-30,19,26,阵雨,阵雨,东南风,南风,7
211,2015-7-31,19,25,阵雨,阵雨,南风,南风,6
212,2015-8-1,19,26,阵雨,多云,南风,南风,7
213,2015-8-2,19,27,阵雨,阵雨,南风,南风,8
214,2015-8-3,19,26,多云,阵雨,南风,南风,7
215,2015-8-4,19,26,阵雨,阵雨,南风,南风,7
216,2015-8-5,19,26,阵雨,阵雨,南风,南风,7
217,2015-8-6,20,26,阵雨,多云,南风,南风,6
218,2015-8-7,20,26,阵雨,多云,东北风,南风,6
219,2015-8-8,19,27,多云,多云,东北风,东北风,8
220,2015-8-9,19,26,多云,多云,东北风,东北风,7
221,2015-8-10,20,28,多云,多云,东北风,东北风,8
222,2015-8-11,19,27,阵雨,雷阵雨,东南风,南风,8
223,2015-8-12,19,26,中雨,阵雨,东风,南风,7
224,2015-8-13,19,27,阵雨,阵雨,南风,南风,8
225,2015-8-14,21,29,多云,多云,南风,南风,8
226,2015-8-15,21,28,雷阵雨,阵雨,南风,东南风,7
227,2015-8-16,21,28,阵雨,阵雨,东南风,东南风,7
228,2015-8-17,21,27,阵雨,雷阵雨,东南风,南风,6
229,2015-8-18,18,24,中雨,阵雨,南风,东北风,6
230,2015-8-19,18,22,阵雨,阴,东北风,东北风,4
231,2015-8-20,17,23,阴,晴,东北风,东北风,6
232,2015-8-21,17,26,晴,多云,东北风,东北风,9
233,2015-8-22,17,29,晴,晴,东北风,东北风,12
234,2015-8-23,18,28,多云,多云,东北风,东风,10
235,2015-8-24,17,25,多云,阵雨,东北风,东南风,8
236,2015-8-25,17,21,大雨,阵雨,东北风,东北风,4
237,2015-8-26,18,21,阵雨,阵雨,东南风,东南风,3
238,2015-8-27,18,23,阵雨,大雨,东南风,东北风,5
239,2015-8-28,18,21,中雨,阵雨,东北风,东北风,3
240,2015-8-29,17,24,多云,阵雨,东北风,东北风,7
241,2015-8-30,16,26,多云,多云,东北风,东北风,10
242,2015-8-31,17,27,多云,多云,东北风,东北风,10
243,2015-9-1,19,27,多云,多云,东北风,东风,8
244,2015-9-2,19,26,阵雨,阵雨,东风,东南风,7
245,2015-9-3,19,25,阴,阵雨,东南风,东南风,6
246,2015-9-4,20,26,阵雨,阵雨,东南风,南风,6
247,2015-9-5,19,26,阵雨,雷阵雨,南风,南风,7
248,2015-9-6,19,24,中雨,阵雨,东北风,东风,5
249,2015-9-7,18,22,阵雨,阵雨,东风,东北风,4
250,2015-9-8,19,24,阴,阵雨,东风,东南风,5
251,2015-9-9,19,24,阵雨,阴,东南风,南风,5
252,2015-9-10,20,26,多云,多云,南风,东南风,6
253,2015-9-11,15,23,阵雨,阵雨,东南风,东北风,8
254,2015-9-12,15,19,阵雨,阴,东北风,东北风,4
255,2015-9-13,15,20,阴,阴,东北风,东北风,5
256,2015-9-14,15,22,多云,阴,东风,东风,7
257,2015-9-15,15,24,多云,阴,东风,东风,9
258,2015-9-16,16,24,阴,阴,东南风,东南风,8
259,2015-9-17,17,24,阴,阵雨,东南风,南风,7
260,2015-9-18,18,23,阵雨,阵雨,东北风,南风,5
261,2015-9-19,16,22,阵雨,阵雨,东北风,东北风,6
262,2015-9-20,16,19,阵雨,阵雨,东北风,东北风,3
263,2015-9-21,17,20,阵雨,阴,东北风,东南风,3
264,2015-9-22,17,22,阵雨,阵雨,东南风,东北风,5
265,2015-9-23,19,22,阴,阴,东南风,南风,3
266,2015-9-24,16,24,阵雨,阵雨,南风,东北风,8
267,2015-9-25,16,19,阵雨,阵雨,东北风,东北风,3
268,2015-9-26,17,20,阵雨,阵雨,东北风,东南风,3
269,2015-9-27,16,22,阴,阴,东南风,东南风,6
270,2015-9-28,18,23,阴,阵雨,东南风,东风,5
271,2015-9-29,17,24,多云,多云,东风,东北风,7
272,2015-9-30,14,25,多云,多云,东北风,南风,11
273,2015-10-1,14,19,阵雨,多云,东北风,东北风,5
274,2015-10-2,16,22,多云,多云,东北风,东北风,6
275,2015-10-3,15,21,阴,阴,东北风,东北风,6
276,2015-10-4,14,21,多云,阵雨,东北风,东北风,7
277,2015-10-5,14,15,中雨,阵雨,东北风,东北风,1
278,2015-10-6,15,18,阵雨,阵雨,东北风,东北风,3
279,2015-10-7,15,21,阴,阵雨,东北风,东北风,6
280,2015-10-8,13,18,阵雨,中雨,东北风,东风,5
281,2015-10-9,11,15,中雨,小雨,东风,东北风,4
282,2015-10-10,11,15,小雨,阴,东北风,东北风,4
283,2015-10-11,10,21,多云,晴,东风,东北风,11
284,2015-10-12,12,21,多云,多云,东北风,南风,9
285,2015-10-13,12,21,多云,多云,南风,南风,9
286,2015-10-14,12,22,多云,晴,东南风,东风,10
287,2015-10-15,12,25,多云,多云,东风,东南风,13
288,2015-10-16,15,24,多云,多云,东南风,东南风,9
289,2015-10-17,15,24,多云,雷阵雨,东南风,东南风,9
290,2015-10-18,15,21,阵雨,阵雨,东北风,东北风,6
291,2015-10-19,14,22,阵雨,多云,东北风,东风,8
292,2015-10-20,13,24,多云,多云,东风,东南风,11
293,2015-10-21,13,25,多云,多云,东南风,南风,12
294,2015-10-22,14,24,多云,多云,东南风,南风,10
295,2015-10-23,16,24,多云,阴,南风,东南风,8
296,2015-10-24,16,22,多云,晴,东南风,南风,6
297,2015-10-25,16,25,多云,多云,南风,南风,9
298,2015-10-26,13,23,多云,阵雨,南风,东北风,10
299,2015-10-27,15,18,阵雨,阵雨,东北风,南风,3
300,2015-10-28,14,21,多云,阵雨,南风,东南风,7
301,2015-10-29,10,17,阵雨,阵雨,东北风,东北风,7
302,2015-10-30,9,13,阵雨,小雨,东北风,东北风,4
303,2015-10-31,8,11,小雨,阵雨,东北风,东北风,3
304,2015-11-1,9,13,阵雨,阴,东北风,东北风,4
305,2015-11-2,11,15,阴,阵雨,东风,南风,4
306,2015-11-3,12,17,多云,阵雨,南风,南风,5
307,2015-11-4,15,17,阴,阵雨,南风,南风,2
308,2015-11-5,17,21,多云,多云,南风,南风,4
309,2015-11-6,18,24,多云,多云,南风,南风,6
310,2015-11-7,16,25,多云,多云,南风,南风,9
311,2015-11-8,13,21,阵雨,阴,东北风,东北风,8
312,2015-11-9,12,18,阵雨,阵雨,东北风,东南风,6
313,2015-11-10,9,15,阵雨,小雨,东南风,东风,6
314,2015-11-11,7,12,小雨,小雨,东风,东北风,5
315,2015-11-12,8,10,小雨,阵雨,东北风,东北风,2
316,2015-11-13,10,15,阴,阴,东北风,东南风,5
317,2015-11-14,11,17,多云,阴,东南风,东南风,6
318,2015-11-15,13,18,阵雨,阵雨,东北风,南风,5
319,2015-11-16,14,18,多云,小雨,南风,东北风,4
320,2015-11-17,11,20,多云,小雨,东北风,东北风,9
321,2015-11-18,12,15,小雨,阵雨,东北风,东南风,3
322,2015-11-19,11,17,阵雨,阵雨,东风,东北风,6
323,2015-11-20,12,15,阴,多云,东北风,东北风,3
324,2015-11-21,14,20,阴,阴,南风,南风,6
325,2015-11-22,15,21,多云,阴,南风,南风,6
326,2015-11-23,11,20,多云,阴,南风,南风,9
327,2015-11-24,5,19,阵雨,阵雨,南风,东北风,14
328,2015-11-25,4,10,多云,阵雨,东北风,东北风,6
329,2015-11-26,6,10,多云,多云,东北风,东南风,4
330,2015-11-27,6,12,阴,小雨,东南风,东风,6
331,2015-11-28,7,9,小雨,小雨,东北风,东北风,2
332,2015-11-29,10,12,阴,多云,东北风,东南风,2
333,2015-11-30,9,14,多云,小雨,东南风,南风,5
334,2015-12-1,6,13,小雨,小雨,南风,东北风,7
335,2015-12-2,4,9,阵雨,阴,东北风,东北风,5
336,2015-12-3,3,7,小雨,小雨,东北风,东北风,4
337,2015-12-4,3,5,小雨,小雨,东北风,东北风,2
338,2015-12-5,3,8,小雨,多云,东北风,东北风,5
339,2015-12-6,2,11,多云,多云,东北风,东北风,9
340,2015-12-7,3,13,多云,多云,东北风,东北风,10
341,2015-12-8,5,12,多云,小雨,东南风,东南风,7
342,2015-12-9,6,11,阴,阴,东南风,东南风,5
343,2015-12-10,7,13,多云,小雨,东风,东风,6
344,2015-12-11,6,9,小雨,小雨,东南风,东南风,3
345,2015-12-12,4,8,小雨,小雨,东风,东风,4
346,2015-12-13,2,5,小雨,小雨,东北风,东北风,3
347,2015-12-14,2,6,阴,小雨,东北风,东北风,4
348,2015-12-15,1,4,阴,阴,东北风,东北风,3
349,2015-12-16,0,4,阴,阴,东北风,东北风,4
350,2015-12-17,0,5,多云,阴,东北风,东北风,5
351,2015-12-18,2,6,阴,阴,东风,东风,4
352,2015-12-19,2,6,阴,小雨,东风,东北风,4
353,2015-12-20,1,5,小雨,小雨,东风~东南风,东北风,4
354,2015-12-21,6,12,多云,小雨,东南风,东南风,6
355,2015-12-22,9,17,多云,小雨,南风,南风,8
356,2015-12-23,5,11,小雨,小雨,东北风,东北风,6
357,2015-12-24,2,6,小雨,小雨,东北风,东北风,4
358,2015-12-25,3,6,阴,小雨,东北风,东北风,3
359,2015-12-26,3,8,小雨,阴,东北风,东北风,5
360,2015-12-27,1,11,多云,多云,东北风,东北风,10
361,2015-12-28,2,6,小雨,小雨,东风,东北风,4
362,2015-12-29,2,6,小雨,小雨,东北风,东北风,4
363,2015-12-30,4,9,阴,小雨,东北风,东北风,5
364,2015-12-31,5,10,多云,多云,东风,东风,5
